Timestamp,ID_REC,ID_SERIES,CALNAME,APPLICATIONNAME,CPFNAME,Property_1_Name,Property_1_Value,Property_1_U,Property_1_H,Property_1_S,Property_1_Flags,Property_2_Name,Property_2_Value,Property_2_U,Property_2_H,Property_2_S,Property_2_Flags,NumSpec,NumSpecOK,NumSpecOK%,Reference Remaining Time,"Number of ""Intensity Too High"" spectra"
10/11/2022 17:59,ILMC tier 5 and 6_10_109_7128758,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.1793,0.742,0.92607,2.2514,,SoyProtein,49.2634,1.41,1.5955,2.956,,130,29,22.308,0:33:27,0
10/11/2022 18:00,ILMC tier 5 and 6_9_109_7128754,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,19.2865,0.741,0.77049,2.4378,,SoyProtein,46.1529,1.41,1.1354,3.1277,,130,34,26.154,0:33:00,0
10/11/2022 18:00,ILMC tier 5 and 6_8_109_7128756,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,20.9736,0.747,1.8622,4.3143,,SoyProtein,43.8287,1.43,2.9802,3.6928,,130,38,29.231,0:32:35,0
10/11/2022 18:01,ILMC tier 5 and 6_7_109_7128757,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,20.6961,0.747,1.8986,4.9724,,SoyProtein,45.0171,1.43,2.9297,3.9822,,130,45,34.615,0:32:10,0
10/11/2022 18:01,ILMC tier 5 and 6_6_109_7128764,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,19.3445,0.742,0.82962,2.4775,,SoyProtein,46.0901,1.41,1.1963,3.1901,,130,36,27.692,0:31:42,0
10/11/2022 18:02,ILMC tier 5 and 6_5_109_7128768,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,17.2146,0.744,1.2609,3.2886,,SoyProtein,49.9454,1.42,1.9727,3.4524,,130,31,23.846,0:31:15,0
10/11/2022 18:02,ILMC tier 5 and 6_4_109_7128765,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.8752,0.741,0.80878,3.7358,,SoyProtein,47.4813,1.41,1.4683,3.8191,,129,36,27.907,0:30:47,0
10/11/2022 18:02,ILMC tier 5 and 6_3_109_7128767,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,21.0655,0.747,1.7688,4.654,,SoyProtein,44.0896,1.42,2.8152,3.3687,,130,41,31.538,0:30:19,0
10/11/2022 18:03,ILMC tier 5 and 6_2_109_7128766,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,21.0071,0.745,1.3866,5.7982,,SoyProtein,43.4274,1.42,2.4721,4.6063,,130,46,35.385,0:29:54,0
10/11/2022 18:06,ILMC tier 5 and 6_1_109_7159645,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,19.4416,0.743,1.0869,2.4039,,SoyProtein,45.7848,1.41,1.082,3.174,,130,30,23.077,0:59:21,0
10/11/2022 18:06,ILMC tier 5 and 6_1_113_7159646,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,19.1756,0.743,1.0092,2.7198,,SoyProtein,45.8234,1.41,1.0542,3.2812,,130,28,21.538,0:58:57,0
10/11/2022 18:06,ILMC tier 5 and 6_2_113_7128780,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.6518,0.74,0.4959,3.4324,,SoyProtein,46.6555,1.41,0.92342,3.9156,,130,34,26.154,0:58:29,0
10/11/2022 18:07,ILMC tier 5 and 6_3_113_7128779,ILMC tier 5 and 6Series,PLS_%Moisture,BHSoy2022,ILMC tier 5 and 6CPF.cpf,SoyOil,18.9648,0.74,0.52706,2.5724,,SoyProtein,45.6401,1.41,0.79217,3.0957,,129,45,34.884,0:58:01,0
